ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 16 name","Attribute 16 value(s)","Attribute 16 visible","Attribute 16 global","Attribute 17 name","Attribute 17 value(s)","Attribute 17 visible","Attribute 17 global","Attribute 18 name","Attribute 18 value(s)","Attribute 18 visible","Attribute 18 global","Attribute 19 name","Attribute 19 value(s)","Attribute 19 visible","Attribute 19 global"
312,simple,AC2051C,,"Used - Air Compressor Tank AC2051C-Air Compressors",1,0,visible,"30 gallon horizontal.  .75&quot; inlet.  (2) .5&quot; oulet.  (2) 1.5&quot; inlet/outlet.  OAD:  16&quot; Dia. x  36&quot;L.","<p>Used - Air Compressor Tank AC2051C</p>",,,taxable,,0,0,,0,0,120,,,,0,,,175,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2051C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2051CA.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2051CB.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2051CC.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2051CD.jpg",,,,,,,,,3516,,inventory,AC2051C,1,1,Inventory,AC2051C,1,0,HP,0,1,0,CFM,0,1,0,Weight,"120 Lbs",1,0,hp,0,1,1,PSI,200,1,0,"New / Used",Used,1,1,weight,120,1,1,psi,200,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,simple,AC2053C,,"Used - Air Compressor Tank AC2053C-Air Compressors",1,0,visible,".75"" inlet. (3) .5"" outlets. (2) 1.5"" inlet/outlets. OAD: 16"" Dia. x 36""L.","Used - Air Compressor Tank AC2053C",,,taxable,,0,0,,0,0,120,,,,0,,,175,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2053-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2053A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2053B-scaled.jpg",,,,,,,,,3517,,inventory,AC2053C,1,1,Inventory,AC2053C,1,0,HP,0,1,0,CFM,0,1,0,Weight,120,1,0,hp,0,1,1,PSI,200,1,0,CFM,0,1,1,"New / Used",Used,1,1,psi,200,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,simple,AC2055,,"Used - Brynner Eng & Mfg 225 Gallon Air Tank AC2055-Air Compressors",1,0,visible,"Overall dimensions 96&quot; x 30&quot; diameter.","Used  - Brynner Eng & Mfg 225 Gallon Air Tank AC2055",,,taxable,,0,0,,0,0,716,,,,0,,,750,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2055-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2055A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2055B-scaled.jpg",,,,,,,,,3541,,Inventory,AC2055,1,0,inventory,AC2055,1,1,Manufacturer,"Brynner Eng & Mfg",1,0,Manufacturer,"Brynner Eng & Mfg",1,1,Model,O257,1,0,model,O257,1,1,HP,0,1,0,hp,0,1,1,CFM,0,1,0,Weight,716,1,0,PSI,200,1,0,"Serial Number",NB81906H,1,0,weight,716,1,1,"New / Used",Used,1,1,psi,200,1,1,serial-num,NB81906H,1,1,,,,,,,,,,,,
315,simple,AC2036,,"Used - Leroi 25 HP Air Compressor AC2036-Air Compressors",1,0,visible,"Estimated Weight is 1,600 lbs. OAD: 80""L x 40""W x 54""H. 120 Gallon Tank. 5,009 Hours.","Used - Leroi 25 HP Air Compressor AC2036",,,taxable,,0,0,,0,0,1600,,,,0,,,4950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2036-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2036A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2036B-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2036C-scaled.jpg",,,,,,,,,3669,,inventory,AC2036,1,1,Inventory,AC2036,1,0,Manufacturer,Leroi,1,0,Manufacturer,Leroi,1,1,Model,25SST,1,0,model,25SST,1,1,HP,0.25,1,0,hp,0.25,1,1,CFM,120,1,0,CFM,120,1,1,Volts,480,1,0,Volts,480,1,1,PSI,125,1,0,"Serial Numer",4080X630,1,0,psi,125,1,1,"New / Used",Used,1,1,serial-num,4080X630,1,1,,,,,,,,
316,simple,AC2034,,"Used - Mattei 75 HP Air Compressor-Air Compressors",1,0,visible,"OAD: 84""L x 45""W x 74""H. Motor and Compressor Runs Great. Needs Control Work Timer and Touch Pad. 34,049 Run Hours. Sold As Is.","Used - Mattei 75 HP Air Compressor",,,taxable,,0,0,,0,0,3000,,,,0,,,6500,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2034.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2034G.jpg",,,,,,,,,3677,,inventory,AC2034,1,1,Inventory,AC2034,1,0,Manufacturer,Mattei,1,0,Manufacturer,Mattei,1,1,Model,EMS750,1,0,model,EMS750,1,1,HP,0.75,1,0,hp,0.75,1,1,CFM,335,1,1,CFM,335,1,0,Volts,460,1,0,Weight,3000,1,0,Volts,460,1,1,PSI,100,1,0,"Serial Number",71959,1,0,"New / Used",Used,1,1,psi,100,1,1,serial-num,71959,1,1,,,,
317,simple,AC2059,,"Used - Comp Air 75 HP Model L55 Air Compressor AC2059-Air Compressors",1,0,visible,"Comes with manual, replacement filter, elements and oil filters.  Currently wired for 460 volt.  26,886 running hours.  Tested and checked out.","Used  - Comp Air 75 HP Model L55 Air Compressor AC2059",,,taxable,,0,0,,0,0,3020,,,,0,,,6750,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2059.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2059F.jpg",,,,,,,,,3554,,inventory,AC2059,1,1,Inventory,AC2059,1,0,Manufacturer,"Comp Air",1,0,Manufacturer,"Comp Air",1,1,Model,L55,1,0,model,L55,1,1,HP,0.75,1,0,hp,0.75,1,1,CFM,346,1,1,CFM,346,1,0,Volts,230/460,1,0,Weight,3020,1,0,Volts,230/460,1,1,PSI,100,1,0,"Serial Number",4576X25,1,0,weight,3020,1,1,"New / Used",Used,1,1,psi,100,1,1,serial-num,4576X25,1,1
318,simple,AC2064,,"Campbell Hausfeld 3.7 HP Air Compressor AC2064",1,0,visible,"12@ 40 PSI/10 @ 90PSI CFM. Single phase. 60 Gallon tank. OAD: 20""D x 64""H. Tested.","Campbell Hausfeld 3.7 HP Air Compressor AC2064\n\nhttps://www.youtube.com/watch?v=OpE5YDSQ4_A",,,taxable,,0,0,,0,0,236,,,,0,,,725,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2064.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2064A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2064B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2064C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2064D.jpg",,,,,,,,,1738,,inventory,AC2064,1,1,Inventory,AC2064,1,0,Manufacturer,"Campbell Hausfeld",1,0,Manufacturer,"Campbell Hausfeld",1,1,Model,VT623802AJ,1,0,model,VT623802AJ,1,1,HP,4,1,0,hp,4,1,1,CFM,9999,1,1,CFM,9999,1,0,Volts,240,1,0,Weight,236,1,0,Volts,240,1,1,PSI,125,1,0,"Serial Number",L11/8/97/02850,1,0,weight,236,1,1,"New / Used",Used,1,1,psi,125,1,1,serial-num,L11/8/97/02850,1,1
319,simple,AC2029,,"Used - Devilbiss 5 HP Air Compressor AC2029-Air Compressors",1,0,visible,"Motor RPM 1435.  80 Gallon Holding Tank.  Wired for 220 Volt.","Used  - Devilbiss 5 HP Air Compressor AC2029",,,taxable,,0,0,,0,0,809,,,,0,,,1625,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2029.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2029G.jpg",,,,,,,,,3574,,inventory,AC2029,1,1,Inventory,AC2029,1,0,Manufacturer,Devilbiss,1,0,Manufacturer,Devilbiss,1,1,Model,WDP5006/432,1,0,model,WDP5006/432,1,1,HP,5,1,0,hp,5,1,1,CFM,18.1,1,1,CFM,18.1,1,0,Volts,220/440,1,0,Weight,809,1,0,Volts,220/440,1,1,PSI,175,1,0,"Serial Number",E4081/54J656,1,0,weight,809,1,1,"New / Used",Used,1,1,psi,175,1,1,serial-num,E4081/54J656,1,1
321,simple,AC2043,,"Cochrane Compressor 10 HP Air  Compressor  AC2043",1,0,visible,"Size:  6 x 3.25  3.50.  120 Gallon Tank.  Needs Controls.  Sold AS-IS","Cochrane Compressor 10 HP Air  Compressor  AC2043",,,taxable,,0,0,,0,0,1251,,,,0,,,1950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2043.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2043G.jpg",,,,,,,,,1741,,inventory,AC2043,1,1,Inventory,AC2043,1,0,Manufacturer,"Cochrane Compressor Co.",1,0,Manufacturer,"Cochrane Compressor Co.",1,1,Model,35018,1,0,model,35018,1,1,HP,10,1,0,hp,10,1,1,CFM,35,1,1,CFM,35,1,0,Volts,230/460,1,0,Weight,1251,1,0,Volts,230/460,1,1,PSI,175,1,0,"Serial Number",210815L,1,0,weight,1251,1,1,"New / Used",Used,1,1,psi,175,1,1,serial-num,210815L,1,1
322,simple,AC2062,,"Used - Gardner Denver 20 HP Electra Screw Air Compressor AC2062-Air Compressors",1,0,visible,"1755 RPM.  OAD:  84&quot;L x 50&quot;W x 70&quot;H.  Tested.","Used  - Gardner Denver 20 HP Electra Screw Air Compressor AC2062",,,taxable,,0,0,,0,0,1500,,,,0,,,4795,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2062-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062H.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062I.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062J.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062K.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062L.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062M.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062N.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062O.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062P.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062Q.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2062R.jpg",,,,,,,,,3611,,inventory,AC2062,1,1,Inventory,AC2062,1,0,Manufacturer,"Gardner Denver",1,0,Manufacturer,"Gardner Denver",1,1,Model,"EBEREB BHCASAB",1,0,model,"EBEREB BHCASAB",1,1,HP,20,1,0,hp,20,1,1,CFM,0,1,0,Volts,460,1,0,Weight,1500,1,0,Volts,460,1,1,PSI,125,1,0,"Serial Number",M2568,1,0,weight,1500,1,1,"New / Used",Used,1,1,psi,125,1,1,serial-num,M2568,1,1,,,,
